wk,date,time,home,homegoals,away,awaygoals,home_xg,away_xg
15,2021-08-15,15:00,Degerfors IF,3,BK Häcken,0,3.2136622069763408,0.8638729152730029
15,2021-08-15,15:00,Mjällby AIF,0,Djurgården,1,0.8303205944304004,0.40433523920459136
15,2021-08-15,17:30,Hammarby,0,IF Elfsborg,2,1.5059804421200458,1.3352308427754809
15,2021-08-15,17:30,Östersund,1,IFK Norrköping FK,2,0.8355572285942867,0.9902540537515037
15,2021-08-16,19:00,Varbergs BoIS FC,1,Örebro,0,0.8921287838354972,0.6426783402979003
15,2021-08-16,19:00,IK Sirius FK,0,AIK,1,0.491163154198239,1.3538296140203827
16,2021-08-21,15:00,Malmö FF,3,Degerfors IF,0,1.2430027490242967,0.4915914302943197
16,2021-08-22,15:00,Halmstad,2,IFK Norrköping FK,1,1.9906784203269519,0.6206361456510134
16,2021-08-22,15:00,IF Elfsborg,2,Hammarby,2,2.3213604997258255,1.3910937340729648
16,2021-08-22,17:30,AIK,2,BK Häcken,1,2.13981193967997,1.1671012904475597
16,2021-08-22,17:30,Örebro,1,IK Sirius FK,1,1.7125378042858013,2.3462720458347723
16,2021-08-23,19:00,Djurgården,0,Mjällby AIF,0,2.6314070263453178,0.7272704201623971
16,2021-08-23,19:00,Östersund,0,Kalmar FF,1,0.9074228914491986,1.0001619554494665
16,2021-08-23,19:00,IFK Göteborg,1,Varbergs BoIS FC,2,0.38782212083613654,0.28972349657842655
17,2021-08-28,15:00,AIK,2,Örebro,0,1.8858830906409878,0.6589249062058862
17,2021-08-28,15:00,Degerfors IF,0,Mjällby AIF,2,0.583635394687788,1.0583110754024823
17,2021-08-28,17:30,Varbergs BoIS FC,1,Halmstad,0,1.1142956850284629,1.4713905407388568
17,2021-08-29,15:00,IK Sirius FK,1,Djurgården,0,0.9221723341240857,2.372380455869974
17,2021-08-29,15:00,IFK Norrköping FK,3,Östersund,0,3.7237507932190317,1.264558173473647
17,2021-08-29,15:00,BK Häcken,3,IFK Göteborg,2,2.2901558042713623,1.2216131622147781
17,2021-08-29,17:30,Kalmar FF,0,IF Elfsborg,3,0.9378594208152602,0.9552452516418528
17,2021-08-29,17:30,Hammarby,2,Malmö FF,1,2.919133358239681,2.4110112506487824
18,2021-09-11,15:00,IK Sirius FK,1,Östersund,0,1.1183225463284125,0.253216268841458
18,2021-09-11,15:00,Malmö FF,1,IFK Norrköping FK,1,1.8968319970963836,0.8743083104595203
18,2021-09-12,15:00,Kalmar FF,4,Degerfors IF,1,3.4282680411658606,0.6200946601006309
18,2021-09-12,15:00,Djurgården,4,Hammarby,1,2.7438531418185397,0.9963483892549932
18,2021-09-12,17:30,IFK Göteborg,2,Halmstad,0,1.357497518961502,0.8027240132997194
18,2021-09-13,19:00,IF Elfsborg,4,BK Häcken,2,1.4970030742371174,0.8572609298812341
18,2021-09-13,19:00,Mjällby AIF,0,AIK,0,0.5517682356216732,0.627755918532474
18,2021-09-13,19:00,Örebro,0,Varbergs BoIS FC,3,0.5487460332336064,1.0181504677945938
19,2021-09-18,15:00,Degerfors IF,1,IK Sirius FK,2,1.721294743878307,0.6755571349164977
19,2021-09-18,15:00,Malmö FF,1,Djurgården,1,4.050599026266777,0.8674302096430276
19,2021-09-18,17:30,BK Häcken,0,Mjällby AIF,0,1.148331483562943,0.738922033167204
19,2021-09-19,15:00,Östersund,3,IF Elfsborg,1,0.6882559651067621,1.8723783185786014
19,2021-09-19,15:00,IFK Norrköping FK,3,Örebro,0,1.9874599915904974,1.4302437639453873
19,2021-09-19,17:30,Halmstad,0,Kalmar FF,1,0.9642753436860783,0.5672539635663753
19,2021-09-20,19:00,AIK,3,IFK Göteborg,1,2.834329180170879,0.6457156627233269
19,2021-09-20,19:00,Hammarby,1,Varbergs BoIS FC,0,0.8157768593758794,0.35058390687091534
20,2021-09-22,19:00,Djurgården,3,Degerfors IF,2,1.914733289875252,0.8925194513587682
20,2021-09-22,19:00,IK Sirius FK,2,IFK Norrköping FK,4,1.7998222293141348,2.841336737394879
20,2021-09-22,19:00,IF Elfsborg,0,Malmö FF,1,0.6152654978605302,0.7617861576426552
20,2021-09-22,19:00,Örebro,2,Östersund,0,2.322989498725449,0.8438931811047632
20,2021-09-23,19:00,Varbergs BoIS FC,1,BK Häcken,1,1.0947383105372026,1.06507699960013
20,2021-09-23,19:00,Hammarby,3,IFK Göteborg,0,2.415105522736596,1.4123467299896704
20,2021-09-23,19:00,Kalmar FF,1,AIK,1,1.8141509930490212,0.9109945799686799
20,2021-09-23,19:00,Mjällby AIF,0,Halmstad,0,1.2676898529335565,0.8112247590090867
21,2021-09-25,17:30,Malmö FF,5,Örebro,1,3.8164434285069664,0.5328830462646871
21,2021-09-26,15:00,Mjällby AIF,4,IF Elfsborg,0,2.8415517623977062,0.4911225055728421
21,2021-09-26,15:00,Östersund,0,Djurgården,3,0.40905608898275325,0.8446646435678542
21,2021-09-26,17:30,BK Häcken,1,Hammarby,1,1.4206113473126267,0.7007796020248704
21,2021-09-26,17:30,IFK Norrköping FK,2,Varbergs BoIS FC,1,2.008532910952065,0.7915497994752619
21,2021-09-27,19:00,Degerfors IF,2,AIK,1,1.536344494334428,1.2947409837099229
21,2021-09-27,19:00,Halmstad,1,IK Sirius FK,1,1.760269907113876,0.4458077415973671
21,2021-09-27,19:00,IFK Göteborg,0,Kalmar FF,2,0.7036157821900366,0.46865772343082235
22,2021-10-01,19:00,IF Elfsborg,1,IFK Göteborg,0,2.2834638575086417,0.2823297243822669
22,2021-10-02,15:00,Varbergs BoIS FC,0,Degerfors IF,0,0.9300211260078878,0.32485287046741945
22,2021-10-02,17:30,Halmstad,1,Östersund,1,2.3118934823506003,0.47988897081275644
22,2021-10-03,15:00,Örebro,1,BK Häcken,2,1.2676053128678617,1.8617254935676615
22,2021-10-03,15:00,Kalmar FF,3,IK Sirius FK,1,2.256313919629987,0.7113420520143032
22,2021-10-03,15:00,AIK,1,Djurgården,0,1.5391580588157279,0.6653650279215548
22,2021-10-03,17:30,IFK Norrköping FK,3,Hammarby,1,2.754320924645729,0.8646358563127172
22,2021-10-03,17:30,Malmö FF,0,Mjällby AIF,1,1.9708951460600885,0.6833368471409351
23,2021-10-16,15:00,Degerfors IF,2,Halmstad,1,2.4615405321205017,1.4040498764059934
23,2021-10-16,15:00,Östersund,0,Malmö FF,3,0.15671773460923868,1.7559923768945427
23,2021-10-16,17:30,IK Sirius FK,2,Varbergs BoIS FC,1,0.8104642250619417,0.820065108972722
23,2021-10-17,15:00,Hammarby,1,AIK,0,2.182127767867466,1.2539689417573663
23,2021-10-17,15:00,Mjällby AIF,4,Kalmar FF,0,2.8831034590320357,0.2867612286272439
23,2021-10-17,17:30,IFK Göteborg,2,Örebro,0,2.2565580973078037,0.5246051015636366
23,2021-10-18,19:00,Djurgården,0,IF Elfsborg,3,1.8656957157080918,1.1974774482863921
23,2021-10-18,19:00,BK Häcken,5,IFK Norrköping FK,0,1.3076486440886361,0.5919947008052646
24,2021-10-23,15:00,Djurgården,3,Kalmar FF,2,2.3325763950778002,0.6792106566673609
24,2021-10-23,17:30,BK Häcken,2,Halmstad,3,2.6610973941437877,2.2024310263932536
24,2021-10-24,15:00,Mjällby AIF,1,IFK Göteborg,3,0.7845845356884904,0.9441117220071014
24,2021-10-24,15:00,IF Elfsborg,3,IK Sirius FK,0,2.603872817108816,0.7666742955487899
24,2021-10-24,15:00,Hammarby,4,Östersund,3,3.34116419775841,0.2698349718108937
24,2021-10-24,17:30,AIK,1,IFK Norrköping FK,0,0.7812417745849227,0.5261855462668956
24,2021-10-24,17:30,Varbergs BoIS FC,1,Malmö FF,1,0.7338292656661599,0.6818231335206479
24,2021-10-25,19:00,Örebro,1,Degerfors IF,2,0.9037234541414237,0.6354028915398082
25,2021-10-27,19:00,Kalmar FF,2,Varbergs BoIS FC,2,1.8699181554836897,0.9906560291234678
25,2021-10-27,19:00,Malmö FF,1,AIK,0,0.5926715024689494,0.2384341790887143
25,2021-10-27,19:00,Östersund,1,BK Häcken,1,0.9278815407801504,1.4214057923000811
25,2021-10-27,19:00,IK Sirius FK,0,Hammarby,1,0.8474489406893821,0.8468988946477978
25,2021-10-28,19:00,Halmstad,1,Örebro,1,1.445845546961101,0.9739483746940983
25,2021-10-28,19:00,Degerfors IF,1,IF Elfsborg,2,1.1307422909529312,0.7917118625311048
25,2021-10-28,19:00,IFK Göteborg,3,Djurgården,0,1.3438272834790703,0.9593230478208901
25,2021-10-28,19:00,IFK Norrköping FK,2,Mjällby AIF,2,2.1818963976349037,0.6355640480516089
26,2021-10-30,15:00,IK Sirius FK,2,Malmö FF,3,0.7350150839679265,2.65088064558401
26,2021-10-30,15:00,Varbergs BoIS FC,3,Östersund,0,2.8655162174011304,0.03294501320986321
26,2021-10-30,17:30,BK Häcken,1,Kalmar FF,4,0.3529501886501271,0.8700692654218596
26,2021-10-31,15:00,IFK Norrköping FK,3,IF Elfsborg,2,2.029272006191723,0.8434447088661712
26,2021-10-31,17:30,Örebro,0,Djurgården,1,0.6680102536597081,1.6563584133434066
26,2021-11-01,19:00,Halmstad,1,AIK,0,0.577590656141893,0.9474785555456366
26,2021-11-01,19:00,Degerfors IF,0,IFK Göteborg,1,0.6524454980646152,0.9087592140680445
26,2021-11-01,19:00,Mjällby AIF,2,Hammarby,0,2.3722200927593544,2.713522389300635
27,2021-11-06,15:00,IF Elfsborg,0,Varbergs BoIS FC,0,0.38149554410427783,1.1208257679889804
27,2021-11-06,17:30,Mjällby AIF,2,IK Sirius FK,3,0.9653193663293791,1.9589690536460123
27,2021-11-06,17:30,Djurgården,1,Halmstad,0,0.6994319297878826,0.5985625867096618
27,2021-11-07,15:00,AIK,3,Östersund,0,2.701594148440417,0.18231056599468615
