wk,date,time,home,homegoals,away,awaygoals
23,2021-10-17,17:30,Göteborg,2,Örebro,0
23,2021-10-18,19:00,Djurgården,0,Elfsborg,3
23,2021-10-18,19:00,Häcken,5,Norrköping,0
24,2021-10-23,15:00,Djurgården,3,Kalmar,2
24,2021-10-23,17:30,Häcken,2,Halmstad,3
24,2021-10-24,15:00,Mjällby,1,Göteborg,3
24,2021-10-24,15:00,Elfsborg,3,Sirius,0
24,2021-10-24,15:00,Hammarby,4,Östersund,3
24,2021-10-24,17:30,AIK Stockholm,1,Norrköping,0
24,2021-10-24,17:30,Varberg,1,Malmö,1
24,2021-10-25,19:00,Örebro,1,Degerfors,2
25,2021-10-27,19:00,Kalmar,2,Varberg,2
25,2021-10-27,19:00,Malmö,1,AIK Stockholm,0
25,2021-10-27,19:00,Östersund,1,Häcken,1
25,2021-10-27,19:00,Sirius,0,Hammarby,1
25,2021-10-28,19:00,Halmstad,1,Örebro,1
25,2021-10-28,19:00,Degerfors,1,Elfsborg,2
25,2021-10-28,19:00,Göteborg,3,Djurgården,0
25,2021-10-28,19:00,Norrköping,2,Mjällby,2
26,2021-10-30,15:00,Sirius,2,Malmö,3
26,2021-10-30,15:00,Varberg,3,Östersund,0
26,2021-10-30,17:30,Häcken,1,Kalmar,4
26,2021-10-31,15:00,Norrköping,3,Elfsborg,2
26,2021-10-31,17:30,Örebro,0,Djurgården,1
26,2021-11-01,19:00,Halmstad,1,AIK Stockholm,0
26,2021-11-01,19:00,Degerfors,0,Göteborg,1
26,2021-11-01,19:00,Mjällby,2,Hammarby,0
27,2021-11-06,15:00,Elfsborg,0,Varberg,0
27,2021-11-06,17:30,Mjällby,2,Sirius,3
27,2021-11-06,17:30,Djurgården,1,Halmstad,0
27,2021-11-07,15:00,AIK Stockholm,3,Östersund,0
27,2021-11-07,15:00,Hammarby,3,Örebro,2
27,2021-11-07,15:00,Häcken,2,Degerfors,0
27,2021-11-07,17:30,Göteborg,0,Malmö,2
27,2021-11-07,17:30,Kalmar,1,Norrköping,0
28,2021-11-20,15:00,Malmö,2,Häcken,2
28,2021-11-21,15:00,Halmstad,0,Elfsborg,1
28,2021-11-21,15:00,Degerfors,1,Hammarby,4
28,2021-11-21,17:30,Sirius,3,Göteborg,3
28,2021-11-21,17:30,Varberg,0,AIK Stockholm,1
28,2021-11-22,19:00,Örebro,1,Kalmar,2
28,2021-11-22,19:00,Östersund,0,Mjällby,2
28,2021-11-22,19:00,Norrköping,1,Djurgården,1
29,2021-11-28,15:00,Djurgården,2,Varberg,3
29,2021-11-28,15:00,Degerfors,4,Norrköping,1
29,2021-11-28,15:00,Göteborg,4,Östersund,0
29,2021-11-28,17:30,Halmstad,0,Hammarby,0
29,2021-11-28,17:30,Kalmar,0,Malmö,1
29,2021-11-29,19:00,Elfsborg,2,AIK Stockholm,4
29,2021-11-29,19:00,Mjällby,0,Örebro,0
29,2021-11-29,19:00,Sirius,3,Häcken,0
30,2021-12-04,15:00,Häcken,0,Djurgården,1
30,2021-12-04,15:00,AIK Stockholm,4,Sirius,2
30,2021-12-04,15:00,Östersund,0,Degerfors,1
30,2021-12-04,15:00,Varberg,0,Mjällby,3
30,2021-12-04,15:00,Norrköping,1,Göteborg,2
30,2021-12-04,15:00,Hammarby,5,Kalmar,3
30,2021-12-04,15:00,Malmö,0,Halmstad,0
30,2021-12-04,15:00,Örebro,2,Elfsborg,3
